Código,Descrição,Unidade medida,CPC,Seção,Divisão,Grupo,Classe,Subclasse
2585,"Manutenção de Paineis Elétricos                                                                                         ",UN,871,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ",,
2593,"MANUTENÇÃO DE CHAVES SECCIONADORAS                                                                                      ",,,,,,,
2607,"MANUTENÇÃO DE DISJUNTORES                                                                                               ",,,,,,,
2615,"Manutenção de Motores Elétricos                                                                                         ",UN,871,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ",,
2623,"Manutenção / Reparo - Bateria                                                                                           ",UN,871,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ",,
2631,"Manutenção de Capacitores                                                                                               ",UN,871,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ",,
2640,"Manutenção de Compensadores                                                                                             ",UN,871,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ",,
2658,"Manutenção / Instalação - Nobreak                                                                                       ",UN,8715,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ","8715: SERVIÇOS DE MANUTENÇÃO E REPARO DE OUTRAS MAQUINARIAS E EQUIPAMENTOS                                                    ",
2666,"Manutenção de Equipamentos de Comutação Telefônica                                                                      ",UN,87153,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ","8715: SERVIÇOS DE MANUTENÇÃO E REPARO DE OUTRAS MAQUINARIAS E EQUIPAMENTOS                                                    ","87153: SERVIÇOS DE REPARO DE EQUIPAMENTOS E APARELHOS DE TELECOMUNICAÇÃO                                                       "
2674,"Manutenção de Equipamentos de Comutação Telegráfica                                                                     ",UN,87153,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ","8715: SERVIÇOS DE MANUTENÇÃO E REPARO DE OUTRAS MAQUINARIAS E EQUIPAMENTOS                                                    ","87153: SERVIÇOS DE REPARO DE EQUIPAMENTOS E APARELHOS DE TELECOMUNICAÇÃO                                                       "
2682,"Manutenção de Equipamentos de Transmissão Multiplex Telefônica                                                          ",UN,87153,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ","8715: SERVIÇOS DE MANUTENÇÃO E REPARO DE OUTRAS MAQUINARIAS E EQUIPAMENTOS                                                    ","87153: SERVIÇOS DE REPARO DE EQUIPAMENTOS E APARELHOS DE TELECOMUNICAÇÃO                                                       "
2690,"Manutenção de Equipamentos de Transmissão Multiplex Telegrá-fica                                                        ",UN,87153,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ","8715: SERVIÇOS DE MANUTENÇÃO E REPARO DE OUTRAS MAQUINARIAS E EQUIPAMENTOS                                                    ","87153: SERVIÇOS DE REPARO DE EQUIPAMENTOS E APARELHOS DE TELECOMUNICAÇÃO                                                       "
2704,"Instalação / Manutenção de Equipamentos de Rádio / Antena  /Agulha Giroscópica                                          ",UN,8734,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","873: SERVIÇOS DE INSTALAÇÃO(À EXCEÇÃO DA CONSTRUÇÃO)                                                                         ","8734: SERVIÇOS DE INSTALAÇÃO DE EQUIPAMENTOS DE RÁDIO,TELEVISÃO E INSTRUMENTOS DE COMUNICAÇÃO                                 ",
2712,"Manutenção de Equipamentos de Comunicação de Dados                                                                      ",UNMÊS,87153,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ","8715: SERVIÇOS DE MANUTENÇÃO E REPARO DE OUTRAS MAQUINARIAS E EQUIPAMENTOS                                                    ","87153: SERVIÇOS DE REPARO DE EQUIPAMENTOS E APARELHOS DE TELECOMUNICAÇÃO                                                       "
2720,"Manutenção de Instrumentos Elétricos                                                                                    ",UN,871,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ",,
2739,"Instalação/Manutenção- Equipamento Eletrônico/Eletromecânico                                                            ",UN,871,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ",,
2747,"Manutenção de Instrumentos Pneumáticos                                                                                  ",UN,871,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ",,
2755,"Manutenção de Sistemas de Tubulações Industriais e Caldeira-ria                                                         ",UN,871,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ",,
2763,"Manutenção de Sistemas de Proteção Contra Incêndio                                                                      ",UN,871,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ",,
2771,"Ar Condicionado - Manutenção de Sistemas / Limpeza                                                                      ",UN,871,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ",,
2780,"Manutenção de Sistemas de Ventilação e Exaustor                                                                         ",UN,871,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ",,
2798,"Manutenção de Sistemas de Aquecimento                                                                                   ",UN,871,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ",,
2801,"Manutenção de Sistemas de Refrigeração                                                                                  ",UN,871,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ",,
2810,"Manutenção de Sistemas de Sinalização Ferroviária                                                                       ",UN,871,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ",,
2828,"Manutenção de Sistemas de Sinalização Marítima                                                                          ",UN,8739,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","873: SERVIÇOS DE INSTALAÇÃO(À EXCEÇÃO DA CONSTRUÇÃO)                                                                         ","8739: SERVIÇOS DE INSTALAÇÃO DE OUTROS BENS N.C.P                                                                             ",
2836,"Instalação / Manutenção de Sistema de Sinalização Trânsito  Vertical / Horizontal                                       ",UN,83319,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","83: OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS                                                                   ","833: SERVIÇOS DE ENGENHARIA                                                                                                  ","8331: SERVIÇOS INTEGRADOS DE ENGENHARIA                                                                                       ","83319: SERVIÇOS INTEGRADOS DE ENGENHARIA PARA OUTROS PROJETOS                                                                  "
2844,"Manutenção de Sistemas de Sinalização Aérea                                                                             ",UN,8739,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","873: SERVIÇOS DE INSTALAÇÃO(À EXCEÇÃO DA CONSTRUÇÃO)                                                                         ","8739: SERVIÇOS DE INSTALAÇÃO DE OUTROS BENS N.C.P                                                                             ",
2852,"Manutenção de Subestações de Energia Elétrica                                                                           ",UN,871,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ",,
2860,"MANUTENÇÃO DE LINHAS DE TRANSMISSÃO DE ENERGIA ELÉTRICA                                                                 ",,,,,,,
2879,"Manutenção de Linhas de Distribuição de Energia Elétrica                                                                ",UN,871,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ",,
2887,"Manutenção de Redes Aéreas - Telecomunicações                                                                           ",UNM,8729,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","872: SERVIÇOS DE REPARO DE OUTROS BENS                                                                                       ","8729: SERVIÇOS DE MANUTENÇÃO E REPARO DE OUTROS PRODUTOS N.C.P                                                                ",
2895,"Manutenção de Redes Subterrâneas de Telecomunicações                                                                    ",UNM,8729,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","872: SERVIÇOS DE REPARO DE OUTROS BENS                                                                                       ","8729: SERVIÇOS DE MANUTENÇÃO E REPARO DE OUTROS PRODUTOS N.C.P                                                                ",
2909,"Manutenção de Redes Subaquáticas - Telecomunicações                                                                     ",UN,8729,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","872: SERVIÇOS DE REPARO DE OUTROS BENS                                                                                       ","8729: SERVIÇOS DE MANUTENÇÃO E REPARO DE OUTROS PRODUTOS N.C.P                                                                ",
2917,"Manutenção de Isolamento Térmico                                                                                        ",UN,8729,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","872: SERVIÇOS DE REPARO DE OUTROS BENS                                                                                       ","8729: SERVIÇOS DE MANUTENÇÃO E REPARO DE OUTROS PRODUTOS N.C.P                                                                ",
